Date,Description,Amount
2025-01-01,Salary,30000
2025-01-02,Swiggy Order,-450
2025-01-03,Uber Ride,-220
2025-01-04,Amazon Purchase,-1200
2025-01-05,Petrol,-800
2025-01-06,Electricity Bill,-1500
2025-01-07,Zomato Order,-350
2025-01-08,Netflix Subscription,-499
2025-01-09,Grocery Store,-950
2025-01-10,Bus Ticket,-60
2025-01-11,Mobile Recharge,-299
2025-01-12,Restaurant Dinner,-1200
2025-01-13,Online Course Fee,-2500
2025-01-14,Freelance Payment,5000
2025-01-15,ATM Cash Withdrawal,-2000
2025-01-16,Swiggy Instamart,-650
2025-01-17,Electricity Bill,-1400
2025-01-18,Amazon Electronics,-4500
2025-01-19,Uber Ride,-180
2025-01-20,Petrol,-900
